musica|artista|compositor|letra
Minhas Madrugadas|Candeia| Paulinho Da Viola - Candeia| Vou pelas minhas madrugadas a cantar Esquecer o que passou Trago a face marcada Cada ruga no meu rosto Simboliza um desgosto Quero encontrar em vão o que perdi Só resta saudade Não tenho paz E a mocidade Que não volta mais Quantos lábios beijei Quantas mãos afaguei Só restou saudade no meu coração Hoje fitando o espelho Eu vi meus olhos vermelhos Compreendi que a vida Que eu vivi foi ilusão
Jogo Proibido|Bezerra da Silva|no compositor found| O tal jogo do baralhoda o maior galhoque nem gosto de lembrarse a polícia estoura o jogosempre fica mais um boboque não soube se mandar É pilhado em flagrantee naquele mesmo instanteé metido no xadrez Por querer bancar o sabidonesse jogo proibidopaga pelas 36então prefiro ser um simples operárioser fiel ao meu trabalhoeu vejo a felicidadefalando sérioo que eu quero é liberdadepra viver em paz comigo e com a sociedadepra viver em paz comigo e com a sociedade
Vai Acontecer|Agepê| Aladim - Divino - Beto Correia|" Vou me sentir dono da grandeza Da beleza que é o mar Me sentirei dono do mundo É só você namorar Prá você serei poeta Cantarei em prosa e verso Te garanto sendo minha Serás dona do universo Tudo que tiver no mundo será seu E todo o seu universo será meu Dotado das experiências que tive na vida De qualquer conquista maior será você querida Vai acontecer | Quando olhar em meus olhosverá que meu mundo pertenece a você Jorivan"
Amigo do Sol, amigo da Lua|Benito Di Paula|no compositor found| Intro:  A  B7  E  C#m  F#  F#m  B E  A  E  Ab  C#m E criança presa ê, brinquedos de trapaças F#m  B Quase sem história pra contar E  A  E  Ab  C#m Você criança tão liberta me tire dessa peça, F#m  B E assim ter história pra contar C#m  G#m Estrela que brilha em meu peito e me leva pro céu E Em cantos cantigas canções de ninar Ab  C#m Me deixa no galho no galho da lua F#m  B No charme do sol pra me despertar C#m  G#m Estrela que brilha em meu peito e me leva pro céu E Em cantos cantigas canções de ninar Ab  C#m Me deixa no galho no galho da lua F#m  B No charme do sol pra me despertar E  B Vem amigo nadar nos rios C#m  G#m Vem amigo plantar mais lirios F#m  B  E  A  E  B7 No vale no mato e no mundo vamos brincar E  B Vem amigo nadar nos rios C#m  G#m Vem amigo plantar mais lirios F#m  B  E  A  E  B7 No vale no mato e no mundo vamos brincar
Seu Fã|Belo| Gustavo Lins / Flavio Venutes|" Eu ouvi alguém chamar por mim Abri meu camarim, vi você Uma flor com olhos cor de mel Caneta e papel pra eu autografar Eu disse: ""oi, tá tudo bem?"" Sentindo meu corpo gritar Você me disse ""eu tô legal"" E o silêncio ficou no ar, ...no ar Olhos nos olhos sem querer disfarçar Muito desejo muita sede de amar Que ironia, agora eu sou seu fã Te admirando até ficar de manhã Olhos nos olhos de quem quer se entregar Será que o amor chegou sem me avisar Conheci você e desse jeito meu mundo está perfeito"
Lambada de Serpente|Belo|no compositor found|" Intro: Cuidar do pé de milho Que demora na semente Meu pai disse"" Meu filho noite fria, tempo quente"" Lambada de serpente A traição me enfeitiçou Quem tem amor ausente Já viveu a minha dor No chão da minha terra, Num lamento de corrente Um grão de pé de guerra Pra colher dente por dente Lambada de serpente A traição me enfeitiçou Quem tem amor ausente Já viveu a minha dor"
Vou Viver a Vida|Alexandre Pires|no compositor found| Acabou mas valeu, não faz mal, tudo bem Eu quero ver se ele vai suportar você Todo amor que era seu eu vou dar a alguém Que me faça feliz, que me faça crescer (2x) E agora? Eu agora vou viver a vida To cansado de ser enganado Nunca mais eu entro em dividida Eu agora quero ser amado Vou botar meu bloco na avenida Vou mudar o enredo desse amor Pra acabar de vez com o desamor (2x) Acabou mas valeu, não faz mal, tudo bem Eu quero ver se ele vai suportar você Todo amor que era seu eu vou dar a alguém Que me faça feliz, que me faça crescer E agora? Eu agora vou viver a vida To cansado de ser enganado Nunca mais eu entro em dividida Eu agora quero ser amado Vou botar meu bloco na avenida Vou mudar o enredo desse amor Pra acabar de vez com o desamor (2x) E agora? Eu agora vou viver a vida To cansado de ser enganado Nunca mais eu entro em dividida Eu agora quero ser amado Vou botar meu bloco na avenida Vou mudar o enredo desse amor Pra acabar de vez com o desamor Pra acabar de vez com o desamor Pra acabar de vez com o desamor...
Tristeza|Alcione| Heitor Dos Prazeres| Tristeza, por favor vá embora Minha alma que chora está vendo o meu fim Tristeza, por favor vá embora Minha alma que chora está vendo o meu fim Fez do meu coração a sua moradia Já é demais o meu penar Quero voltar àquela vida de alegria Quero de novo cantar
É Melhor Parar|Alexandre Pires| Ross Vannelli| Ela tem o dom de me ferir Quando estou triste, ela sorri Seu pior defeito é não admitir Eu já estou cansado De assumir que sou culpado É melhor parar Por que adora me fazer sofrer? É melhor parar Um dia você vai se arrepender É melhor parar de brincar Quando eu falo que vou desistir Ela não tá nem aí Eu não vou mais me calar pra te ouvir Eu já estou cansado De assumir que sou culpado É melhor parar Por que adora me fazer sofrer? É melhor parar Um dia você vai se arrepender É melhor parar de brincar
Filho de Mãe Solteira|Bezerra da Silva|no compositor found| Deus, oh meu  Deus Não consigo entender Por que é que na vida Só tenho causas perdidas, sem o direito de vencer Oh meu  Deus Filho de mãe solteira Pobre cozinheira Não podia me manter Para funabrem, eu fui levado como menor abandonado Começou o meu sofrer Oh meu  Deus Com, cinco anos não tive mais carinho O muro fechou meu caminho A razão eu não sei o porquê Hoje, depois de homem formado Continuo encarcerado, isto assim não é viver Oh meu  Deus
Samba Da Antiga|Candeia| Antônio Candeia Filho| Vem pra roda menina, Mexer com as cadeiras vem sambar Vem mexer com as cadeiras, vem sambar Vem mexer com as cadeiras, vem sambar Esse samba é da antiga, de gente amiga, vem sambar Vem mexer com as cadeiras, vem sambar Vem mexer com as cadeiras, vem sambar A idade não importa, A cor da tua pele não me interessa Se tens perna torta, se tens perna certa O que vale é saber se tem samba na veia O samba veio de longe, hoje está na cidade, Hoje está nas aldeias Nasceu no passado, está no presente Quem samba uma vez samba eternamente Vem pra roda menina, Mexer com as cadeiras vem sambar Vem mexer com as cadeiras, vem sambar Vem mexer com as cadeiras, vem sambar Este samba é da antiga, de gente amiga, vem sambar Vem mexer com as cadeiras, vem sambar Vem mexer com as cadeiras, vem sambar A idade não importa, A cor da tua pele não me interessa Se tens perna torta, se tens perna certa O que vale é saber se tem samba na veia O samba veio de longe, hoje está na cidade, Hoje está nas aldeias Nasceu no passado, está no presente Quem samba uma vez samba eternamente Vem pra roda menina, Mexer com as cadeiras vem sambar Vem mexer com as cadeiras, vem sambar Vem mexer com as cadeiras, vem sambar Este samba é da antiga, de gente amiga, vem sambar Vem mexer com as cadeiras, vem sambar Vem mexer com as cadeiras, vem sambar Vem mexer com as cadeiras, vem sambar Vem mexer com as cadeiras, vem sambar Vem mexer com as cadeiras, vem sambar Vem mexer com as cadeiras, vem sambar
Cuide das Plantas|Agepê| Piteira / Luiz Luz| Toda roseira quando morre A natureza chora eu sei Os colibris se entristecem E as borboletas não vem mais Pousar no jardim Rosa flor perfuma meu lar Rosa mulher me dá amor Divina dama E a natureza não se esquece Dos corações que se entristecem Por ter faltado o aroma Cuidem das plantas Cuidem das flores Dos ramos das palmeiras Das rosas, tudo enfim Elas são vidas As margaridas E as lindas dálias Em um jardim Vida é vida E o tempo passa E a natureza Não perde a beleza O brilho das estrelas Este céu, este mar Estas lindas manhãs E as noites de luar
Quero Dizer-te Adeus|Ary Barroso| Ary Barroso - 1942| Quero dizer-te adeus De forma singular Cantando a nossa valsa Sem chorar Quero dizer-te adeus Pois vou partir, amor Sem mágoa e sem rancor Dos falsos beijos teus Quero deixar-te assim Sem atribulações Pra que longe de mim Não tenhas ilusões O nosso amor morreu E o culpado não fui eu Foi a sorte Foi a vida querida Sonhei, confesso Castelos de ouro e luz Mansão de mil venturas Para nós dois Porém, no mundo os namorados Não contam com as surpresas Que vêm depois Depois, depois amor A tempestade veio e tudo carregou Até a saudade Quero dizer-te adeus De forma singular Cantando a nossa valsa Sem chorar S 052527 Ficha técnica da faixa Voz:  Orlando  Silva[  Valsa -  Victor 34.947 B -  Intérprete  Orlando  Silva com  Orquestra ]
Co, Co, Co, Co, Co, Co, RÓ / Marchinha do Grande Gallo|Carmen Miranda| Lamartine Babo E Paulo Barbosa| O galo de noite cantoue toda gente quis ver o que aconteceu Nervoso o galinho respondeu: Co, co, co, co, co, co, ró a galinha morreu! Co, co, co, co, co, co, ró Co, co, co, co, co, co, ró O galo tem saudades da galinha carijó A minha vizinha também certa noite gritou Toda gente acordou Nervoso o marido respondeu: Co, co, co, co, co, co, róhoje o galo sou eu!
Meu Pirão Primeiro|Bezerra da Silva|no compositor found| Farinha pouca Meu pirão primeiro Este é um velho ditado Do tempo do cativeiro E a chica assim dizia Na hora de preparar Pro pirão ficar gostoso Tem que saber temperar Eu falei pra você Se a farinha pouca Meu pirão primeiro Este é um velho ditado Do tempo do cativeiro Olha que o pirão da tia chica Todos queriam comer Porque era preparado No azeite de dendê Tô dizendo a você! Se a farinha pouca Meu pirão primeiro Este é um velho ditado Do tempo do cativeiro Olha que preto velho benedito Dizia pra tia  Inêz Quem comer o pirão da chica Fica sem comer um mês Eu falei pra você Se a farinha pouca Meu pirão primeiro Este é um velho ditado Do tempo do cativeiro
Jéssica|Biro do Cavaco| Tatá| Sem a gente esperar nasce uma pequena flor Que terá muito amor Que terá muito amor Nem bem nasceu já começamos regá-la Pra mais tarde colher Uma porção de carinho Uma porção de carinho Toda flor que nasce Nasce sem nome sem nada Sem título algum Nasce desamparada Mas aqui é diferente temos amor e de tudo Principalmente carinho Pra enfrentar nosso mundo Pra enfrentar nosso mundo Eu vou dizer pra vocês Qual é o nome dela Eu vou dizer pra vocês O nome dela é  Jéssica  Jéssica  Jéssica  Jéssica Ôh ôh ôh ôh Ôh ôh ôh ôh O nome dela é  Jéssica Eu já falei pra vocês É a coisa mais linda Que  Deus pôde trazer...
Do Meu Jeito|Belo|no compositor found| Se eu te vejo Quero um beijo Eu não sei como evitar Minha vida és tão linda, preciso te encontrar Me entreguei que sufoco Eu tô louco por você Se eu pensar é loucura Quem segura o prazer Por que você não faz do meu jeitoé só se entregar Coloque a mão aqui no meu peito Pra você escutar O meu coração falar Sentimento de momento,não serve para nós É divino,é eterno Quando estamos a sos
A Canoa Virou|Braguinha|no compositor found| A canoa virou, Quem deixou ela virar? Foi por causa da menina, Que não soube remar.(bis) Se eu fosse um peixinho E soubesse nadar Eu tirava a menina Lá do fundo do mar... (2 X)
É Hora de Pintar|Beth Carvalho|no compositor found| É tempo de me ver Porque já estou com fome Também já tenho sede E já não solto os ais Estou como os animais Já sem raciocinar Mas não sou cão sem dono E nem um rei sem trono É hora de você pintar Quanto mais você adiar a chegada Mais riscos vou ter que correr Ninguém pode sobreviver sem pão Quero lhe beber como cerva gelada Berrar como vaca malhada Picada no pasto E em convulsão Depois então carpir O choro do amor E sem me recompor Dormir
Felicidade Pede Bis|Arlindo Cruz| Arlindo Cruz - Sombrinha - Marquinhos Pqd| Preciso te encontrar Pra matar a tristeza que quer me matar Preciso te namorar Pra lembrar com desejo o sabor do teu beijo que tanto me faz delirar No teu fogo quero me queimar Quando a dor desespera e o peito acelera Na espera desse amor voltar É saudade Parece que não vai ter fim Não quero viver assim Com você na lembrança sem ter esperança A vida é tão ruim Sem a tua presença não há recompensa que faça meu corpo vibrar Nossa chama não pode apagar Você é minha paz eu te quero demais Vem depressa não aguento mais De saudade Não dá pra ficar sem você Eu sei Que já chorei como ninguém E você já chorou também Me faz feliz com sua volta, volta Meu bem Felicidade pede bis Pra esquecer a cicatriz Me faz feliz com sua volta, volta
Cosa Del Destino|Alexandre Pires|no compositor found| Eso es cosa del destino Ya sufri mas estoy vivo Voy buscando mi camino Y el dolor sigue conmigo Kero aprender a vivir, sin ti Yo te ame y tu lo sabes No meresco tus maldades Sufrimiento q invade Hoy te digo mis verdades Con tus infidelidades, se apago El sueño q habia para dos Los planes q el tiempo se llevo, se llevo Por que sera q insistes en llamar Me torturas ignoras y adoras hacerme llorar Por que no me olvidas de una vez A pesar del dolor del engaño existe un talvez Por que sera q insistes en llamar Me torturas ignoras y adoras hacerme llorar Por que no me olvidas de una vez A pesar del dolor del engaño existe un talvez talvez talvez Yo te ame y tu lo sabes No meresco tus maldades Sufrimiento q invade Hoy te digo mis verdades Con tus infidelidades se apago El sueño q habia para dos Los planes q el tiempo se llevo se llevo Por que sera q insistes en llamar Me torturas ignoras y adoras hacerme llorar Por que no me olvidas de una vez A pesar del dolor del engaño existe un talvez Por que sera q insistes en llamar Me torturas ignoras y adoras hacerme llorar Por que no me olvidas de una vez A pesar del dolor del engaño existe un talvez Por que sera q insistes en llamar Me torturas ignoras y adoras hacerme llorar Por que no me olvidas de una vez A pesar del dolor del engaño existe un talvez talvez talvez
Cachorrinho de Polícia|Bezerra da Silva| Bezerra Da Silva| Alô, alô cachorrinho de polícia A moçada do bicho já deu aviso Quando a malandragem vier do grampo Vai correr atrás do prejuízo Alô, alô cachorrinho de polícia A moçada do bicho já deu aviso Quando a malandragem vier do grampo Vai correr atrás do prejuízo Para o língua nervosa e o dedo de seta A dança está certa sem caô caô É que o grampo também tem Uma pá de canalha devendo ao vovô E quando pinta um cabeça de área O coração dispara e ele fica tremendo Isso acontece com todo safado Que a língua e os dente não estão se entendendo Alô, alô cachorrinho de polícia... Como é que pode a troco de nada Ele sair caguetando E a polícia muito malandra Diz a socidade ele está ajudando Depois que ele dá o terceiro serviço O próprio canadura fica estapiado Aí passa logo ele apronta Com medo também de ser caguetado Alô, alô cachorrinho de polícia... Para o língua nervosa e o dedo de seta... Alô, alô cachorrinho de polícia... Como é que pode a troco de nada... Alô, alô cachorrinho de polícia... Alô, alô cachorrinho de polícia...
Meu Bem|Bezerra da Silva| Athanazio de Oliveira Filho, Ovídio Bessa| Meu bem! Meu bem, não me sai do pensamento Aquelas lágrima que um dia eu enxuguei E você era ainda uma criança Gerou malícia e pertubou minha lembrança Naquele tempo era um mar de rosas Somente flores a desabrochar Você chorou, e eu chorei Brigas jamais! Não me sai do pensamento A saudade que a vida me trás Meu bem! Meu bem, não me sai do pensamento Aquelas lágrima que um dia eu enxuguei E você era ainda uma criança Gerou malícia e pertubou minha lembrança Naquele tempo era um mar de rosas Somente flores a desabrochar Você chorou, e eu chorei Brigas jamais! Não me sai do pensamento A saudade que a vida me trás Não me sai do pensamento A saudade que a vida me trás
Meiguice Descarada|Almir Guineto|no compositor found| Oh ! quanta ! Quanta ilusão alimentei Sua meiguiçe é descarada Desempenha bem o seu papel Mesmo com a ribalta apagada Vai, segue seu sonho Seu destino terá o luar Vai e não perca um segundo Já que o nosso mundo Não se pode juntar Vai e não perca um segundo Já que o nosso mundo Não se pode juntar E mas ! Mas, por que tentar E condenar a ilusão Você traz a promessa no olhar E tem sempre o dom de enganar E vem sempre com a chuva pra molhar Molhar o quê ? O amor que eu dou tudo pra ter de você Molhar o quê ?
Onde O Sol Se Perfuma|Almir Guineto|no compositor found| A L M I R  G U I N E T O O N D E  O  S O L  S E  P E R F U M A A H  P E N S A N D O  B E M V O C Ê  F A Z  B E M  P O D E  F I C A R A R R U M E  T U D O  A  S E U  J E I T O V O C Ê  T E M  T O D O  D I R E I T O P I N T E  D E  B R A N C O  A S  P A R E D E S  D E  S E U  N O V O  L A R S E I  Q U E  A  C A S A  S E  E N C O N T R A  D E S E R T A U M A  C O I S A  É  C E R T A  V O C Ê  V A I  E N C O N T R A R U M  J A R D I M  C O L O R I D O O N D E  O  S O L  S E  P E R F U M A P R A  Q U E  A S  N U V E N S  S E  E S C U A E  U M  L I N D O  L U A R  V A I  L H E  O F E R T A R E U S E I  Q U E  É  P O U C O  Q U E  L H E  O F E R E Ç O M A S  T E M  O  S E U  P R E Ç O S E  Q U E R E S  F I C A R N A O  M E  T R A G A  A M A R G U R A E U  S Ó  P E Ç O  T E R N U R A P O I S  M E U S  O L H O S  N A  V I D A  D E  A M O R J A  C A N S A R A M  D E  T A N T O  C H O R A R
Conto de Fada|Agepê|no compositor found| Eu já mandei preparar Sorvete de amendoim E chá de maracujá Pra ver se ela gosta de mim Cantei cantiga de roda E cantiga de ninar Contei as histórias da fada Que se casava no fim E nem assim E nem assim Acho que a felicidade Nunca vai gostar de mim E nem assim E nem assim Acho que a felicidade Nunca vai gostar de mim Plantei rosas e um cravo Margaridas e jasmim Do amor virei escravo Como as flores no jardim Comprei uma esmeralda Mas vendi meu tamborim E botei uma grinalda Perfumada de alecrim E nem assim E nem assim Acho que a felicidade Nunca vai gostar de mim E nem assim E nem assim Acho que a felicidade Nunca vai gostar de mim
Doce de Cajá|Beth Carvalho| Roque Ferreira| Quero doce de cajá No ponto Do jeito que vovó  Sinhá Fazia No fogareiro a carvão Soprando Pra mamãe  Elza aprovar, oi Cantando Mãe trazia no mocó Copioba torradinha Que vinha pelo vapor De  Nazaré das  Farinhas Vinha mel de uruçu Misturado com cachaça E castanha de caju Bem medida na cabaça Bolo de milho, beiju E uma rede bonita de tarrafa Mamãe conheceu de cor Zefinha do  Chabocão Que na viola foi nó Pra qualquer um valentão Também conheceu  Corisco Vorta  Seca e  Lampião E fez muita romaria Pro  Padre  Ciço  Romão Na beira do  São  Francisco Mamãe também viu assombração
Você Perto de Mim|Belo|no compositor found| Como fazer pra esquecer teu beijoah se eu soubesse. Como fazer pra corrigir seus defeitosse alguém me dissesse. Como fazer pra esquecer Um dia de sol um beijo na chuva Pra onde eu vou Eu penso que você vem,e meu corpo também Baby eu já não sei viver Sozinho sem você Falta alguma coisa aqui,é você perto de mim. 2xvocê perto de mim. Quero saber o que te faz a cabeça ...ah se eu soubesse. Como aprender a te deixar sem defesa,se alguém me dissesse. Como fazer pra esquecer Um dia de sol um beijo na chuva Tudo de bom que eu quero você já tem,e muito mais meu bem. Baby eu já não sei viver Sozinho sem você Falta alguma coisa aqui,é você perto de mim. 4x
O Suburbano|Almir Guineto| Almir Guinéto| Láia  Láia! Láia  Láia! Láia  Láia!  Láia  Láia!  Láia  Láia! 2 X O  S U B U R B A N O  Q U E  J Á  N A S C E  P O B R E T Ã O Q U E  S E  G U I A  C O M  A S  P R O M E S S A S  D O  P A R T I D O  D A  I L U S Ã O 2 X( R E F R Ã O)êêê...  G E N T E  B O A  S E  L E M B R A  D E  M I M ? S O U  F I L H O  D O  S E U  M O R G A D O  D O N O  D A Q U L E  B O T I Q U I M O N D E  T E U  P A I  B E B I A  F I A D O  V E  S E  T U  L E M B R A  D E  M I M E U  S O U  O  M O R G A D O  F I L H O  E  J U N T O S  F O M O S  C R I A D O S V A I  D I Z E R  Q U E  N Ã O  S E  L E M B R A  D O  F I L H O  D O  S E U  M O R G A D O V A I  D I Z E R  Q U E  N Ã O  S E  L E M B R A  D O  F I L H O  D O  S E U  M O R G A D O! M A S  M U D A N D O  D E  C O N V E R S A V A M O S  A O  Q U E  I N T E R E S S A N E S S E  P A P O  I N F O R M A L N I N G U É M  M E L H O R  Q U E  V O C Ê  P O R  F A V O R  N Ã O  L E V E  A  M A L P A R A  T R A B A L H A R  C O M I G O  S E R  M E U  C A B O  E L E I T O R A L É  Q U E  E S T E  S E U  A M I G O  V A I  S E R  D E P U T A D O  E S T A D U A L!( R E F R Ã O)... E  Q U A N D O  E L E I T O  E U  F O R  V A I S  P A S S A R  A  F I L É  M I G N O N O S  B U R A C O S  D E S S A  R U A  C O M  A S F A L T O  V O U  T A P A R L U Z  D E  C A R N I O M  N A  P R A Ç A  V O U  M A N D A R  B O T A R O  M O R G A D O  F O I  E L E I T O  E  A G O R A  É  E X C E L Ê N C I A N Ã O  S E  E N C O N T R A  O  D A N A D O  N E M  M A R C A N D O  A U D I Ê N C I A N Ã O  S E  E N C O N T R A  O  D A N A D O  N E M  M A R C A N D O  A U D I Ê N C I A!( R E F R Ã O) O  M O R G A D O  F O I  E L E I T O  E  A G O R A  É  E X C E L Ê N C I A N Ã O  S E  E N C O N T R A  O  D A N A D O  N E M  M A R C A N D O  A U D I Ê N C I A N Ã O  S E  E N C O N T R A  O  D A N A D O  N E M  M A R C A N D O  A U D I Ê N C I A!( R E F R Ã O)
Esse Nego|Arlindo Cruz| Arlindo Cruz; Babi Cruz|" Eta nego cheiroso Tem cheiro de mato Tem cheiro de chuva de verão Ô Ô Eta nego gostoso Tem gosto de doce de batata-doce Comido com a mão Ô Ô Nego inteligente, não quebra a corrente Sabe se impor, onde quer que ele vá Nego decente Da gente se orgulhar Um sorriso tão branco, tão aperolado Parece o pecado esculpido em marfim Quero esse nego para mim Só pra mim Seu gingado é mistura de salsa De samba, de samba de roda lá do "" Pelorin"" Quero esse nego pra mim Só pra mim Ele é meu andor, minha fé Meu amor, meu axé, meu dendê Ele é o  Xangô de  Iansã É a luz da manhã, é o querer E por esse nego que eu entreguei a minha vida inteira E por esse nego, eu brigo, eu luto até capoeira Eu quero esse nego com mel e paixão Porque esse nego é dono do meu coração"
Tudo Bem|Belo| Jose Ortega/Maria Alberto Domingues/Vers:Alexandre Lucas/Vers:Belo.| Tudo bem. . .depois do amor mais lindoque eu já fize sei que não vou ter por mais ninguémvocê se vira e dizque o nosso caso nuncavai poder ir mais aléme que na sua cama te esperaum outro alguém. Tudo bem. . .o que fazer com esse sentimentoentalado na garganta que não quer descere tão ruim saberque só o meu amor não satisfaz vocêmeu coração aindatá tentando entender. Porque você me liga altas horase diz que quer ouvir a minha voze sente falta do que a gentefaz em baixo dos lençóismais quando saciada em seu desejo. O fim da história eu já sei de corbatendo a porta sem olhar pra trásme deixa na pior. Porque chega a saudadee invade o meu peitobate um medo sei lánem posso reclamarnão tenho esse direitome pediu liberdadete pedi pra ficardói aqui no meu peitomais faço do teu jeitoaceito o meu lugar. 2x By;  Luuuh k.
Ressuscita Ele|Bezerra da Silva|no compositor found| Ressucita ele meu  Deusmanda esse cara pra cá Ressucita ele meu  Deusmanda esse cara pra cá Esse safado me deve uma granae morreu de bobeira pra não me pagar (2x) O nome dele não é  Lázaroeu rogo a ti pela ressureiçãoele pisou na redondae usando seu nome em vão Também me pediu um dinheiropra pagar o aluguelmas a noite morreu de bobeiracom a venta entupida de tanto papel É que esse safado nos deve uma granae morreu de bobeira pra não me pagaresse pilantra nos deve uma granae morreu de bobeira pra não me pagar Ressucita ele meu  Deuspra me pagar o que fezdepois que ele der meu dinheiroo  Senhor pode mandar pro inferno outra vez Ressucita ele meu  Deusque esse cara é pecadordeu uma volta na malandragemvai dar uma volta também no  Senhor
Sonhos de Um Palhaço|Belo| Antônio Marcos / Sérgio Sá| Vejam só Que história boba eu tenho pra contar Quem é que vai querer acreditar Eu sou palhaço sem querer Vejam só Que coisa incrível o meu coração Todo pintado nessa solidão Espera a hora de sonhar Ah, o mundo sempre foi Um circo sem igual Onde todos representam bem ou mal Onde a farsa de um palhaço é natural Ah, no palco da ilusão Pintei meu coração Entreguei o amor e o sonho sem saber Que o palhaço pinta o rosto pra viver Vejam só e há quem diga que o palhaço é Do grande circo apenas o ladrão Do coração de uma mulher Ah, o mundo sempre foi Um circo sem igual Onde todos representam bem ou mal Onde a farsa de um palhaço é natural Ah, no palco da ilusão Pintei meu coração Entreguei o amor e o sonho sem saber Que o palhaço pinta o rosto pra viver Vejam só E há quem diga que o palhaço é Do grande circo apenas o ladrão Do coração de uma mulher
Bahia|Ary Barroso| Ary Barroso - 1931| Bahia, terra do coco babaçu Bahia, que tem muqueca e umbú Baiana tem mandinga Baiana tem feitiço Eu sou da  Bahia E mereço um sacrifício Quem da  Bahia tiver saudade Pega o pandeiro e cai no choro Roda o tundá, bota a chinela Cai num desafio Integrando o coro Terra do jongo e do batuque A batucar nas noites de  Reis Eu, pra  Bahia, hei de voltar Juro por  Deus E não tem talvez65159 Ficha técnica da faixa Voz:  Silvio  Caldas Orquestra[  Samba -  Victor 33.446 B -  Intérprete  Sílvio  Caldas com  Orquetra - gravado em junho de 1931 e lançado em julho de 1931 ]
Dona do Pedaço|Belo| Prateado / Picolé / Flavio Venutes| Dá um tempo, dá um beijo! Deixa de marra, desamarra essa cara que você ficou... Dá um tempo, dá um beijo! Vou pra balada pra curtir a madrugada com você amor (2x) Eu não sou de sair sozinho Faz tempo que eu não dou mancada Você chegou pra minha vida mudar Pra que então ficar com medo Se é a dona do pedaço Eu sofro pra viver contigo e sonhar Vem comigo amor, seja onde for Quero com você viajar Vem me beijar ôô Esse seu amor me fez vencedor Nada pode nos separar Vem me beijar
Defunto Grampeado|Bezerra da Silva|no compositor found|" Parem o enterro, gritaram os homens da lei! Parem o enterro, gritaram os homens da lei! Nós temos ordem pra levar esse defunto pro xadrez! Nós temos ordem pra levar esse defunto pro xadrez! Mas aquela atitude causou muito espanto e admiração Até o vigário com 171 dizia que aquilo era anti-cristão Fechou o tempo lá no cemitério, Ninguém entendeu a tal voz de prisão! Sururu formado, falei malandragem! Sururu formado! onde foi que já se viu Um defunto grampeado? Sururu formado, aí gente boa! Sururu formado! onde foi que já se viu Um defunto grampeado? Parem o enterro, gritaram os homens da lei! Parem o enterro, gritaram os homens da lei! Nós temos ordem pra levar esse defunto pro xadrez! Nós temos ordem pra levar esse defunto pro xadrez! E os acompanhantes estavam por fora e desinteirados Somente o vigário e a malandragem Sabiam quem ali ia ser enterrado Quando os tiras chegaram perto do caixão Eles gritaram: ""meu deus, fomos caguetados!"" Sururu formado, falei malandragem! Sururu formado! quando os homens abriram o caixão O defunto era apenas cabrito importado! Sururu formado, falei malandragem! Sururu formado! quando o vigário sentiu o flagrante perfeito Quis sair de pinote, mas foi logo algemado! Parem o enterro, gritaram os homens da lei! Parem o enterro, gritaram os homens da lei! Nós temos ordem pra levar esse defunto pro xadrez! Nós temos ordem pra levar esse defunto pro xadrez!"
Melhores Momentos|Alcione| Michael Sullivan/paulo Massadas| Como posso explicar para o meu coração Que você nâo vem mais Que foi tudo ilusão Como posso impedir de doer no meu peito Quando a dor do amor é amor, não tem jeito Como posso negar todo bem que eu te quis Como posso esquecer quem me fez tão feliz Como posso apagar tua imagem de mim Como posso aceitar que esse amor tenha fim Eu sei que você vive A reclamar dos meus defeitos Mas me castigar dessa maneira eu não aceito Não pode me acusar de coisas que eu não fiz Não pode recusar que nos meus braços foi feliz Eu sei que ainda podemos Ter um mundo só da gente Não tente se virar Quando eu passar na tua frente Se eu vejo em teu olhar o fogo da paixão Pra que nos enganar Ninguém engana o coração Com você dividi meus melhores momentos Só depois descobri: sem você não agüento
O Correio Já Chegou|Ary Barroso| Ary Barroso - 1934| O correio já chegou ô, ô Nem uma cartinha de você Todo o dia a mesma coisa E eu de longe, sem saber porque Longe dos olhos Longe do coração É o ditado mais certeiro Deste mundo de ilusão Amor, como é triste a minha sorte Só espero, agora, a morte É tudo que me resta pra consolação O correio já chegou ô, ô Nem uma cartinha de você Todo o dia a mesma coisa E eu de longe, sem saber porque A minha mágoa Vem da confiança Que em você depositava Minha única esperança Amor Já que tudo está perdido Só lhe faço este pedido Apaga-me de todo de sua lembrança4746 Ficha técnica da faixa Voz:  Francisco  Alves Regência:  Simon  Bountman Orquestra  Odeon[  Samba -  Intérprete  Francisco  Alves com a  Orquestra  Odeon, regência de  Simon  Bountman -  Odeon 11.080 B ]
Ói Nóis Aqui Traveis|Adoniran Barbosa| Geraldo Blota E Joseval Peixoto| Se voceis pensam que nóis fumos embora Nóis enganemos voceis Fingimos que fumos e vortemos Ói nóis aqui traveis Nóis tava indo Tava quase lá E arresorvemo Vortemos prá cá E agora, nóis vai ficar fregueis Ói nóis aqui traveis
Dig Don|Art Popular|no compositor found|[ Refrão] Tô feliz da vida Tô feliz da vida Tô feliz da vida porque... porque... dig dig don! Dig dig dig don Pega no balanço o som Mas vem que eu quero, eu quero, eu quero... Dig dig dig don Canta pra mexer O samba seguir prazer Deixa estar presente, ele vai te melhorar Dança pra mexer Só pra comemorar Tira esse pagode É o  Art  Popular Se ficar parado até o bicho come Sente essa pegada, faz sua vida melhorar[ Refrão]
